dataset_key,train_size,method,selection_metric,bin_index,bin_count,mean_predicted_reward,mean_synthetic_label_reward,min_predicted_reward,max_predicted_reward,calibration_error
realistic2000,600,2stage,validation_mse_loss,0,41057,0.7374691971609835,6.994698010149308,0.09889877890893177,1.3845829415677118,6.257228812988324
realistic2000,600,2stage,validation_mse_loss,1,41057,1.9514919150204963,7.569220197203098,1.3845829415677118,2.4724695279872946,5.617728282182601
realistic2000,600,2stage,validation_mse_loss,2,41057,3.0050226963389073,7.989742340112036,2.4724695279872946,3.461457280233945,4.984719643773129
realistic2000,600,2stage,validation_mse_loss,3,41057,3.942754375658504,8.281093481398129,3.461457280233945,4.351546345678331,4.338339105739625
realistic2000,600,2stage,validation_mse_loss,4,41057,4.793753690579146,8.40759001342248,4.351546345678331,5.189606636870253,3.6138363228433343
realistic2000,600,2stage,validation_mse_loss,5,41057,5.567642040740479,8.549111489631825,5.189693055666243,5.933927102962576,2.981469448891346
realistic2000,600,2stage,validation_mse_loss,6,41057,6.311246924453197,8.792933273114942,5.933927102962576,6.682400021011076,2.4816863486617446
realistic2000,600,2stage,validation_mse_loss,7,41057,7.050954796056704,9.079824109717329,6.6824084739537355,7.417408583961883,2.028869313660625
realistic2000,600,2stage,validation_mse_loss,8,41057,7.784352065980816,9.317901227714595,7.417408583961883,8.150074351727664,1.533549161733779
realistic2000,600,2stage,validation_mse_loss,9,41057,8.516607369402866,9.546716731264242,8.150074351727664,8.900890064961192,1.030109361861376
realistic2000,600,2stage,validation_mse_loss,10,41057,9.621674934681316,9.820168416510603,8.900890064961192,10.535104695781605,0.19849348182928672
realistic2000,600,2stage,validation_mse_loss,11,41057,11.849354968287832,10.487054965191891,10.535291575676066,13.997212876308643,1.3623000030959407
realistic2000,600,e2e,validation_decision_gap,0,41057,0.5804583826613802,6.992408658512953,0.07783764560224572,1.0897270674282233,6.411950275851573
realistic2000,600,e2e,validation_decision_gap,1,41057,1.536086336599696,7.57035513421507,1.0897270674282233,1.9459411835513178,6.034268797615375
realistic2000,600,e2e,validation_decision_gap,2,41057,2.365469885114729,7.989987928010457,1.9459411835513178,2.7243176105769917,5.624518042895728
realistic2000,600,e2e,validation_decision_gap,3,41057,3.103737639423583,8.282458663920233,2.7243176105769917,3.424993066556508,5.1787210244966495
realistic2000,600,e2e,validation_decision_gap,4,41057,3.773846232826286,8.40978096263191,3.4250046440534407,4.08766366375612,4.635934729805624
realistic2000,600,e2e,validation_decision_gap,5,41057,4.383143230484771,8.551907066620107,4.087666125037665,4.670259026102576,4.168763836135335
realistic2000,600,e2e,validation_decision_gap,6,41057,4.9684339209167305,8.787533153633428,4.670259026102576,5.261384504085016,3.819099232716697
realistic2000,600,e2e,validation_decision_gap,7,41057,5.550549151516495,9.080343451012034,5.261394919026617,5.837823550653954,3.5297942994955394
realistic2000,600,e2e,validation_decision_gap,8,41057,6.127768312038619,9.318871466758019,5.837823550653954,6.417096075134004,3.1911031547194
realistic2000,600,e2e,validation_decision_gap,9,41057,6.704149787162124,9.545812636842497,6.417100472721494,7.005388075205332,2.8416628496803726
realistic2000,600,e2e,validation_decision_gap,10,41057,7.5752060465516715,9.819280906561175,7.005388075205332,8.293971748081665,2.244074860009504
realistic2000,600,e2e,validation_decision_gap,11,41057,9.329485041889512,10.487314226712597,8.294009366696105,11.020684460856272,1.1578291848230844
realistic2000,600,e2e,validation_fy_loss,0,41057,0.9079741369439612,6.992917826473473,0.12232795676224294,1.7125914402421172,6.084943689529512
realistic2000,600,e2e,validation_fy_loss,1,41057,2.39393581838516,7.552823582946272,1.7125914402421172,3.0581989874121476,5.158887764561111
realistic2000,600,e2e,validation_fy_loss,2,41057,3.6736262680559473,7.966128600673872,3.0581989874121476,4.281478509463861,4.292502332617925
realistic2000,600,e2e,validation_fy_loss,3,41057,4.807078769063952,8.233201928157838,4.281478509463861,5.357371951175683,3.426123159093886
realistic2000,600,e2e,validation_fy_loss,4,41057,5.825754526144768,8.358096682736752,5.357386207893364,6.296894707303301,2.5323421565919846
realistic2000,600,e2e,validation_fy_loss,5,41057,6.763494473381353,8.570052715403786,6.296955184215835,7.217349289474827,1.806558242022433
realistic2000,600,e2e,validation_fy_loss,6,41057,7.6834904562730735,8.816505357207536,7.217349289474827,8.147005011584103,1.1330149009344623
realistic2000,600,e2e,validation_fy_loss,7,41057,8.600909215224949,9.129709113576077,8.147052955173766,9.05226911940099,0.528799898351128
realistic2000,600,e2e,validation_fy_loss,8,41057,9.507925364158192,9.337201537091806,9.05226911940099,9.95915293025249,0.17072382706638578
realistic2000,600,e2e,validation_fy_loss,9,41057,10.413257261992007,9.574944417757191,9.95915293025249,10.887188220195696,0.8383128442348156
realistic2000,600,e2e,validation_fy_loss,10,41057,11.645690600990665,9.82937490440981,10.887188220195696,12.720788509461395,1.8163156965808547
realistic2000,600,e2e,validation_fy_loss,11,41057,14.290647553617529,10.475097588996066,12.720850962583725,16.868104151669765,3.8155499646214626
