selection_rank,topology_id,selection_bucket
1,G-269,strong_positive
2,G-398,strong_positive
3,G-784,strong_positive
4,G-103,strong_positive
5,G-927,matched_positive
6,G-970,positive_hard
7,G-304,strong_positive
8,G-364,sparse_positive_anchor
9,G-730,coverage_positive
10,G-658,neutral_regime_positive_anchor
11,G-79,strong_negative_control
12,G-836,matched_negative_control
13,G-124,high_room_negative
14,G-396,high_room_neutral
15,G-670,no_room_neutral_hard
16,G-237,slow_structural_hard
17,G-206,strong_negative_extension
18,G-72,strong_negative_extension
