case_label,max_cycle,method_label,row_count,mean_rank1_normalized_gap,mean_rank2_normalized_gap,median_rank2_normalized_gap,mean_rank2_minus_rank1_normalized_gap,median_rank2_minus_rank1_normalized_gap,near_1pct_rank2_count,rank2_near_1pct_rate,near_5pct_rank2_count,rank2_near_5pct_rate
case_a_bad_prediction_irrelevant,3,2stage_val_mse,3,0.0,0.045693890877686875,0.0209736493449517,0.045693890877686875,0.0209736493449517,1,0.3333333333333333,2,0.6666666666666666
case_a_bad_prediction_irrelevant,3,spoplus_val_spoplus_loss,3,0.0,0.03443170026010141,0.007357797551349641,0.03443170026010141,0.007357797551349641,2,0.6666666666666666,2,0.6666666666666666
case_a_bad_prediction_irrelevant,4,2stage_val_mse,3,0.0,0.058964627502132716,0.047170007424687195,0.058964627502132716,0.047170007424687195,0,0.0,2,0.6666666666666666
case_a_bad_prediction_irrelevant,4,spoplus_val_spoplus_loss,3,0.0,0.04141166225576672,0.028297683538345594,0.04141166225576672,0.028297683538345594,1,0.3333333333333333,2,0.6666666666666666
case_a_bad_prediction_irrelevant,5,2stage_val_mse,3,0.0,0.058964627502132716,0.047170007424687195,0.058964627502132716,0.047170007424687195,0,0.0,2,0.6666666666666666
case_a_bad_prediction_irrelevant,5,spoplus_val_spoplus_loss,3,0.0,0.04141166225576672,0.028297683538345594,0.04141166225576672,0.028297683538345594,1,0.3333333333333333,2,0.6666666666666666
case_b_different_solution_near_optimal,3,2stage_val_mse,3,0.0009973834838091526,0.01685542984394038,0.010214456709745657,0.01585804636013123,0.009570861834614435,1,0.3333333333333333,3,1.0
case_b_different_solution_near_optimal,3,spoplus_val_spoplus_loss,3,0.0009973834838091526,0.02595383007393341,0.037509657399724734,0.02495644659012426,0.03686606252459351,1,0.3333333333333333,3,1.0
case_b_different_solution_near_optimal,4,2stage_val_mse,3,0.02459577537135504,0.04043494750946511,0.04035183282207549,0.015839172138110074,0.009514239168550962,0,0.0,2,0.6666666666666666
case_b_different_solution_near_optimal,4,spoplus_val_spoplus_loss,3,0.02459577537135504,0.049479520227700365,0.04176175268403214,0.024883744856345324,0.036647957323256715,0,0.0,2,0.6666666666666666
case_b_different_solution_near_optimal,5,2stage_val_mse,3,0.02249952560973491,0.03711814730233482,0.036748797441430954,0.014618621692599915,0.00828066928858007,1,0.3333333333333333,2,0.6666666666666666
case_b_different_solution_near_optimal,5,spoplus_val_spoplus_loss,3,0.02249952560973491,0.032806922892668434,0.023815124212431784,0.010307397282933525,0.00828066928858007,1,0.3333333333333333,2,0.6666666666666666
case_c_spoplus_fixes_2stage,3,2stage_val_mse,3,0.30745990431538706,0.2131639514123612,0.3081626061169907,-0.09429595290302585,-0.00806332799959969,0,0.0,1,0.3333333333333333
case_c_spoplus_fixes_2stage,3,spoplus_val_spoplus_loss,3,0.030807582390108047,0.13344599345306016,0.08501754918929036,0.10263841106295211,0.025326688510099775,0,0.0,1,0.3333333333333333
case_c_spoplus_fixes_2stage,4,2stage_val_mse,3,0.18222849934709948,0.25687977790220856,0.28550248200282,0.07465127855510913,0.04923087006548377,0,0.0,0,0.0
case_c_spoplus_fixes_2stage,4,spoplus_val_spoplus_loss,3,0.18222849934709948,0.20577323928622013,0.22880803432740388,0.02354473993912065,0.009838650685820516,0,0.0,0,0.0
case_c_spoplus_fixes_2stage,5,2stage_val_mse,3,0.1796119279351147,0.21299900165095886,0.19200633477261497,0.03338707371584416,0.048868028534479024,0,0.0,0,0.0
case_c_spoplus_fixes_2stage,5,spoplus_val_spoplus_loss,3,0.1796119279351147,0.1804380731421834,0.16676772791083777,0.0008261452070686867,0.0020623225475696894,0,0.0,0,0.0
