problem_family,problem_label,objective_sense,tau,sigma,substitute_regime,num_instances,identity_mismatch_rate,mean_normalized_regret,q25_normalized_regret,median_normalized_regret,q75_normalized_regret,p90_normalized_regret,max_normalized_regret,mean_normalized_regret_when_mismatch,median_normalized_regret_when_mismatch,mean_true_second_best_normalized_gap,q25_true_second_best_normalized_gap,median_true_second_best_normalized_gap,q75_true_second_best_normalized_gap,p90_true_second_best_normalized_gap,within_1pct_rate,within_5pct_rate,mean_dfl_improvement_ceiling,median_dfl_improvement_ceiling,mean_changed_component_count,mean_oracle_objective
random_kep_set_packing,Random KEP-like set packing,maximize,0.02,0.0,close_substitutes,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022030729147577564,0.0007774217270578353,0.0019323584451909886,0.006054683254313423,0.08796927932371335,1.0,1.0,0.0,0.0,0.0,11.040484696945414
random_kep_set_packing,Random KEP-like set packing,maximize,0.02,0.02,close_substitutes,500,0.438,0.001112399322681167,0.0,0.0,0.001563744025028505,0.003920402116712442,0.009871967731195168,0.0025397244810072307,0.0018669588713353454,0.0226829128639962,0.0007005787792788466,0.0018704605715735732,0.005839970783550378,0.08836007795340162,1.0,1.0,0.001112399322681167,0.0,2.352,10.888980138669893
random_kep_set_packing,Random KEP-like set packing,maximize,0.02,0.05,close_substitutes,500,0.488,0.0015401349589231712,0.0,0.0,0.002779237095765098,0.004701413062137983,0.014989425279490591,0.0031560142600884655,0.002883918975368633,0.022895137421209973,0.0006948054325147431,0.0017138825193020284,0.005491452585106563,0.089342860865217,0.996,1.0,0.0015401349589231712,0.0,2.642,10.986539186998211
random_kep_set_packing,Random KEP-like set packing,maximize,0.02,0.1,close_substitutes,500,0.538,0.002068596999773214,0.0,0.0003279249293795706,0.003236834228234428,0.006242076019704792,0.08378884562480167,0.003844975836009692,0.003052030178862008,0.02506923757924983,0.0007438368255944252,0.0019906406317521438,0.07677387481179812,0.09026078339833091,0.99,0.998,0.002068596999773214,0.0003279249293795706,2.914,10.945830936968736
random_kep_set_packing,Random KEP-like set packing,maximize,0.02,0.2,close_substitutes,500,0.564,0.009218285208443157,0.0,0.0008508542387521054,0.004598049483756648,0.00931583591218605,0.1105118882244988,0.016344477319934672,0.0040684946456886854,0.023984110196283978,0.000740425298676233,0.001869140801238647,0.009077635211086094,0.09085360816362587,0.908,0.916,0.009218285208443157,0.0008508542387521054,3.236,10.919120951293566
random_kep_set_packing,Random KEP-like set packing,maximize,0.02,0.3,close_substitutes,500,0.69,0.026800043051602,0.0,0.002759770576662802,0.00944339962485898,0.09236910914220166,0.206732561350222,0.038840642103771014,0.005474470750796811,0.02340416767088319,0.0007982369897883967,0.0018752778248533426,0.0066034829271461835,0.08855862816928751,0.752,0.756,0.026800043051602,0.002759770576662802,3.87,10.990760099356203
random_kep_set_packing,Random KEP-like set packing,maximize,0.05,0.0,close_substitutes,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028583701852597652,0.002177094087171499,0.0053817472212158894,0.07195892051225991,0.088261474359308,1.0,1.0,0.0,0.0,0.0,11.029782032171441
random_kep_set_packing,Random KEP-like set packing,maximize,0.05,0.02,close_substitutes,500,0.266,0.0009375619290385117,0.0,0.0,0.0004315380893407053,0.0037822666689336726,0.014017168228780458,0.003524668906159818,0.0026502545848712707,0.026376931279031488,0.0018432549924905285,0.004838648972176201,0.06603485843043691,0.08592941904221449,0.99,1.0,0.0009375619290385117,0.0,1.39,11.046234444657923
random_kep_set_packing,Random KEP-like set packing,maximize,0.05,0.05,close_substitutes,500,0.37,0.0022525362878034454,0.0,0.0,0.0031087710403014637,0.00847605517830661,0.020928969586710446,0.006087935912982285,0.005360080142815281,0.024034054602365358,0.0017487475682747163,0.004813007328388259,0.019851038039842683,0.08410987834330509,0.928,1.0,0.0022525362878034454,0.0,1.898,10.93745902447407
random_kep_set_packing,Random KEP-like set packing,maximize,0.05,0.1,close_substitutes,500,0.464,0.0035463242291409957,0.0,0.0,0.005836226536967816,0.011251972606659381,0.033553758070746544,0.007642940149010766,0.006333225735926592,0.02545086294825319,0.0017814041165285116,0.005067170746521868,0.06730238490511511,0.08618527503822887,0.876,1.0,0.0035463242291409957,0.0,2.488,10.955382313379507
random_kep_set_packing,Random KEP-like set packing,maximize,0.05,0.2,close_substitutes,500,0.586,0.012756911532788141,0.0,0.0030012415298836335,0.0108375816253579,0.02914734437813119,0.1253100185384467,0.021769473605440515,0.008778454210537807,0.024379902899156966,0.0019468071686578414,0.004832090615073633,0.03044760428233948,0.08413798035435195,0.738,0.904,0.012756911532788141,0.0030012415298836335,3.286,11.063664566662142
random_kep_set_packing,Random KEP-like set packing,maximize,0.05,0.3,close_substitutes,500,0.704,0.02460529692704425,0.0,0.005748973215949296,0.01768983928345117,0.09182047818004796,0.20969335129471836,0.03495070586227877,0.010913197262057117,0.020966133300258743,0.001758113447031793,0.004037058742140888,0.010793238978693272,0.08153900232524944,0.624,0.794,0.02460529692704425,0.005748973215949296,3.892,11.019623057955611
random_kep_set_packing,Random KEP-like set packing,maximize,0.1,0.0,moderate_substitutes,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02881109203025767,0.004784842541123429,0.010241502277526028,0.05228286293232148,0.08299607660044162,1.0,1.0,0.0,0.0,0.0,11.000254780228133
random_kep_set_packing,Random KEP-like set packing,maximize,0.1,0.02,moderate_substitutes,500,0.148,0.0005437748314711723,0.0,0.0,0.0,0.0011306700003593626,0.014353199255108784,0.0036741542666971104,0.00201736762151732,0.024271067370696536,0.003195546297429723,0.008195233382086359,0.033920828343452836,0.07794022788666147,0.988,1.0,0.0005437748314711723,0.0,0.782,11.134346177638745
random_kep_set_packing,Random KEP-like set packing,maximize,0.1,0.05,moderate_substitutes,500,0.278,0.0023159012102048743,0.0,0.0,0.0012584081664549981,0.009831960608729961,0.02431035039790437,0.008330579892823289,0.006917629635488788,0.023867012148673615,0.0039247181472515085,0.010017669466054343,0.025101775023479336,0.08008293905439703,0.904,1.0,0.0023159012102048743,0.0,1.512,11.018482538699288
random_kep_set_packing,Random KEP-like set packing,maximize,0.1,0.1,moderate_substitutes,500,0.448,0.005753168987709375,0.0,0.0,0.009011284805861532,0.018075213473999867,0.09034298416574361,0.012841895061851282,0.010018007778405025,0.02586138309225784,0.004222742943710178,0.010019294376343442,0.03882340157835411,0.07779584605537763,0.774,0.988,0.005753168987709375,0.0,2.264,11.09758683132146
random_kep_set_packing,Random KEP-like set packing,maximize,0.1,0.2,moderate_substitutes,500,0.588,0.014599353450519324,0.0,0.00502742958795163,0.018353986190864098,0.039524649935806705,0.13874704413589498,0.02482883239884239,0.014367834819355201,0.025070547478532844,0.0033799176032842707,0.00920101562726357,0.029937426565963373,0.07857188138453661,0.594,0.918,0.014599353450519324,0.00502742958795163,3.22,11.021321854350816
random_kep_set_packing,Random KEP-like set packing,maximize,0.1,0.3,moderate_substitutes,500,0.646,0.02975394966719573,0.0,0.010416977190939924,0.049355339094754376,0.09498268077225763,0.21493039945341297,0.04605874561485407,0.026186060251942894,0.025646046863314134,0.0036654034816269447,0.009231289108697924,0.03677366649598855,0.0799413731982029,0.496,0.75,0.02975394966719573,0.010416977190939924,3.6,11.067610866722095
random_kep_set_packing,Random KEP-like set packing,maximize,0.2,0.0,separated_alternatives,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02931416091591127,0.008004452800324628,0.018982585679313713,0.04422054274756342,0.07413221754657327,1.0,1.0,0.0,0.0,0.0,11.106433390525204
random_kep_set_packing,Random KEP-like set packing,maximize,0.2,0.02,separated_alternatives,500,0.058,0.00026331284698477206,0.0,0.0,0.0,0.0,0.016661968501295407,0.004539876672151243,0.004441736826340613,0.027725357697106715,0.007909969764421864,0.017476712669651513,0.03932181856310446,0.0680300200309942,0.994,1.0,0.00026331284698477206,0.0,0.3,11.190840070349818
random_kep_set_packing,Random KEP-like set packing,maximize,0.2,0.05,separated_alternatives,500,0.188,0.001722931865236455,0.0,0.0,0.0,0.0061248845462875765,0.03151894588943233,0.00916453119806625,0.006689099825788398,0.02700481857026614,0.006311559109371744,0.01608554093345324,0.04098219493522544,0.07132030145341112,0.928,1.0,0.001722931865236455,0.0,0.97,11.211187408928456
random_kep_set_packing,Random KEP-like set packing,maximize,0.2,0.1,separated_alternatives,500,0.306,0.005130750232677854,0.0,0.0,0.003594587294595916,0.018209779845478502,0.10119035456603087,0.016767157623130243,0.01169776735856964,0.027358817784727985,0.006867450735163487,0.015884044411649832,0.03684159132260601,0.07161844007095543,0.822,0.986,0.005130750232677854,0.0,1.646,11.10484710312263
random_kep_set_packing,Random KEP-like set packing,maximize,0.2,0.2,separated_alternatives,500,0.498,0.017133091218176973,0.0,0.0,0.024739474458059716,0.058408044530188566,0.1340857817836753,0.03440379762686139,0.02514223301502209,0.029392498791452122,0.0080745621257897,0.019730052177727397,0.040502087632197176,0.07422164022696032,0.61,0.874,0.017133091218176973,0.0,2.694,11.196469222587234
random_kep_set_packing,Random KEP-like set packing,maximize,0.2,0.3,separated_alternatives,500,0.66,0.03312334277720946,0.0,0.016417846940330407,0.05066773296153136,0.09488507289927522,0.2497303307979135,0.050186882995771905,0.03673984711900759,0.027627484244473498,0.007938192983220127,0.018199918572764602,0.033596226605919856,0.0686770739527578,0.432,0.746,0.03312334277720946,0.016417846940330407,3.646,11.105257092281036
random_kep_set_packing,Random KEP-like set packing,maximize,0.3,0.0,separated_alternatives,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031035517188477163,0.010081770493039674,0.02253152291464503,0.04502509370474406,0.06904927006225815,1.0,1.0,0.0,0.0,0.0,11.365855147938932
random_kep_set_packing,Random KEP-like set packing,maximize,0.3,0.02,separated_alternatives,500,0.068,0.0002544967961827352,0.0,0.0,0.0,0.0,0.011143492142055386,0.003742599943863753,0.002718974487513846,0.029864336576656447,0.0095124344898345,0.023099972032041637,0.04171039440337419,0.06603043960548403,0.996,1.0,0.0002544967961827352,0.0,0.392,11.352350978314687
random_kep_set_packing,Random KEP-like set packing,maximize,0.3,0.05,separated_alternatives,500,0.166,0.0012223448373984245,0.0,0.0,0.0,0.004768968287979725,0.02464907288436639,0.0073635231168579784,0.006609257360754033,0.02999450148007032,0.009203312956606357,0.021722131910637755,0.04242741124281937,0.06929891326379375,0.95,1.0,0.0012223448373984245,0.0,0.886,11.255144419249483
random_kep_set_packing,Random KEP-like set packing,maximize,0.3,0.1,separated_alternatives,500,0.302,0.006119793234678207,0.0,0.0,0.005747550751919181,0.024514657372407583,0.07293027971826142,0.020264216008868234,0.016870979694919953,0.03111467499829989,0.009046961902274197,0.02101005922000678,0.04616880223630605,0.07296027343856044,0.796,0.98,0.006119793234678207,0.0,1.594,11.267588871254986
random_kep_set_packing,Random KEP-like set packing,maximize,0.3,0.2,separated_alternatives,500,0.49,0.018861645593950666,0.0,0.0,0.028647844421759158,0.061392440112946964,0.20420459707904257,0.038493154273368704,0.029021005973800588,0.029492789000995303,0.009354265119034557,0.020125085223635188,0.04096804533559309,0.07136437042238221,0.612,0.872,0.018861645593950666,0.0,2.714,11.267311666790224
random_kep_set_packing,Random KEP-like set packing,maximize,0.3,0.3,separated_alternatives,500,0.614,0.03267258241260424,0.0,0.013274957692980042,0.055167535523018826,0.09083753261035941,0.2027887675271661,0.05321267493909486,0.04250693145883519,0.029818160431719844,0.008614214530268529,0.01941487956638753,0.041694057634330574,0.0673904234310668,0.47,0.73,0.03267258241260424,0.013274957692980042,3.304,11.339374708482351
